Left_shoulder-Left_elbow-Left_wrist,Right_shoulder-Right_elbow-Right_wrist,Left_hip-Left_shoulder-Left_elbow,Right_hip-Right_shoulder-Right_elbow,Right_shoulder-Nose-Left_shoulder,Right_eye_outer-Right_shoulder-Nose,Left_eye_outer-Left_shoulder-Nose,Right_eye-Right_eye_outer-Right_ear,Left_eye-Left_eye_outer-Left_ear,labels
139.971,150.757,5.938,7.26,43.845,11.294,8.259,165.244,164.795,0
155.059,146.009,20.32,51.221,92.863,10.691,5.454,172.936,29.457,0
143.304,94.541,15.858,10.39,2.792,11.674,9.005,166.117,164.021,0
147.129,132.064,0.12,7.898,15.73,11.184,8.045,169.894,165.04,0
117.043,90.96,8.466,41.706,15.474,14.006,7.037,171.119,169.687,0
111.907,149.559,19.919,17.962,17.086,3.507,17.486,43.613,165.998,0
148.321,116.902,15.178,16.498,1.542,13.844,4.186,175.316,1.299,0
124.793,116.735,5.895,17.223,13.419,13.842,6.342,171.338,167.97,0
106.015,51.298,28.416,56.608,3.118,5.438,5.813,174.676,172.048,0
46.42,124.619,28.458,32.518,29.481,7.345,0.638,166.328,35.988,0
105.436,121.564,81.009,6.745,8.486,7.475,8.107,171.951,163.28,0
145.686,146.574,48.7,0.767,16.06,9.653,11.155,170.259,167.786,0
133.061,145.612,40.571,69.138,78.381,9.248,2.62,172.345,58.267,0
91.532,97.889,73.264,69.937,140.281,11.037,9.066,162.509,169.689,0
171.669,174.911,44.982,65.698,135.586,18.589,11.408,160.655,171.678,0
174.487,172.059,41.136,28.785,128.552,15.446,18.424,165.506,165.483,0
38.911,119.709,72.823,81.038,136.504,12.189,7.344,146.712,167.388,0
176.215,177.392,38.612,26.179,92.157,12.394,12.361,101.704,157.49,0
157.511,157.658,63.109,59.336,103.617,12.853,7.292,13.318,172.177,0
169.795,178.912,52.586,46.458,84.848,5.673,4.886,154.072,174.648,0
169.691,173.904,47.078,36.311,75.409,6.174,7.653,22.862,167.825,0
173.864,144.974,42.416,48.892,127.14,10.729,7.975,20.144,169.3,0
159.228,129.894,38.421,9.606,106.977,21.132,6.58,48.431,171.1,0
166.353,166.978,63.578,55.533,135.35,9.971,8.472,168.072,150.06,0
178.258,142.061,58.258,57.136,55.79,4.284,7.279,28.666,171.486,0
126.225,99.041,18.091,51.787,20.166,9.631,4.969,176.138,0.475,0
84.439,89.031,23.273,4.817,25.999,5.925,9.827,172.647,160.172,0
124.404,37.534,20.4,53.601,13.243,4.535,7.12,176.398,167.589,0
125.721,42.576,11.497,80.964,130.622,20.38,6.919,121.485,166.695,0
115.763,161.578,34.213,11.955,23.381,11.166,9.89,158.301,170.965,0
172.906,161.068,51.744,69.381,134.763,9.387,7.909,107.583,164.294,0
155.422,174.102,48.27,41.838,133.321,13.649,8.501,148.493,151.601,0
125.625,117.883,4.439,58.975,49.234,1.449,9.762,20.381,169.535,0
170.344,129.316,6.566,37.181,10.098,14.992,14.899,161.786,169.971,0
178.297,164.052,45.434,50.163,140.021,12.534,9.525,35.175,173.793,0
138.273,178.988,6.181,23.466,89.941,16.045,9.592,40.422,165.28,0
129.932,138.454,28.471,37.448,57.025,15.424,19.329,35.812,166.039,0
174.283,173.398,59.052,19.442,124.679,12.802,7.262,121.965,160.171,0
169.207,178.752,58.55,60.011,144.349,12.667,14.559,179.135,168.807,0
177.182,152.095,42.158,37.027,129.785,8.57,15.285,172.05,34.766,0
151.985,44.872,46.325,28.885,151.717,7.803,13.474,176.543,16.236,0
166.896,2.572,48.1,63.347,113.508,12.842,10.572,162.743,129.576,0
122.59,169.444,15.605,37.273,142.458,11.96,6.966,56.447,174.035,0
165.492,173.653,47.182,46.324,126.694,11.38,11.31,162.182,157.975,0
152.828,164.084,27.388,28.204,122.733,9.031,9.676,15.563,171.494,0
86.941,76.141,58.822,89.232,121.408,7.219,7.094,18.507,172.49,0
111.225,57.906,4.914,54.196,92.515,14.999,16.568,167.799,31.802,0
94.351,46.541,11.771,73.788,138.266,7.033,13.897,162.907,156.136,0
171.424,38.281,50.003,70.924,135.229,7.661,12.648,159.795,163.545,0
152.463,52.315,42.356,56.147,135.995,7.41,9.771,165.391,130.098,0
129.686,161.177,63.846,56.88,133.086,14.306,6.347,114.937,160.071,0
58.981,99.604,54.428,61.891,114.575,11.6,14.48,156.755,157.992,0
164.386,145.911,50.197,57.94,136.069,14.604,9.371,166.044,163.667,0
76.655,150.094,45.473,29.789,120.621,12.044,13.138,151.004,160.432,0
95.776,151.377,62.168,15.963,137.558,10.877,9.138,135.191,168.418,0
159.852,170.599,40.618,53.339,129.407,15.375,14.017,152.751,164.237,0
176.762,172.449,49.901,57.404,129.847,10.017,9.267,170.639,94.259,0
163.987,110.979,20.777,39.371,60.255,9.295,0.053,172.644,46.521,0
147.344,120.256,3.742,5.34,16.707,9.239,9.095,159.277,167.869,0
151.655,153.098,7.383,0.183,0.138,8.368,11.378,169.516,170.626,0
118.621,117.459,2.619,13.345,12.933,8.441,5.097,172.825,166.791,0
173.9,163.804,65.352,49.372,108.619,11.316,8.913,7.598,170.679,0
113.143,166.696,23.43,5.857,26.17,13.413,7.065,149.705,159.327,0
142.39,131.732,46.892,64.385,145.275,8.875,9.888,165.314,167.809,0
161.204,161.14,47.19,53.973,132.324,9.206,11.934,89.112,165.859,0
97.919,102.319,13.62,17.144,15.382,12.903,11.621,160.575,170.936,0
171.243,141.261,55.242,70.105,143.257,8.527,10.803,154.118,162.24,0
102.34,57.362,41.737,53.362,110.26,10.58,22.976,170.593,40.4,0
179.156,112.765,47.562,71.203,131.421,11.637,9.484,166.821,150.528,0
165.858,178.701,36.441,59.52,115.598,13.449,15.017,145.278,162.243,0
