Left_shoulder-Left_elbow-Left_wrist,Right_shoulder-Right_elbow-Right_wrist,Left_hip-Left_shoulder-Left_elbow,Right_hip-Right_shoulder-Right_elbow,Right_shoulder-Nose-Left_shoulder,Right_eye_outer-Right_shoulder-Nose,Left_eye_outer-Left_shoulder-Nose,Right_eye-Right_eye_outer-Right_ear,Left_eye-Left_eye_outer-Left_ear,labels
80.096,73.637,19.399,7.581,22.846,11.771,1.282,170.191,16.556,1
92.949,78.624,22.692,5.685,35.409,7.999,5.915,175.262,20.28,1
70.33,63.41,73.542,48.585,154.531,7.955,16.598,174.886,5.146,1
90.098,128.135,41.216,48.596,156.692,16.444,10.075,139.431,174.351,1
64.216,56.163,34.307,32.315,113.049,20.968,13.101,24.913,177.089,1
163.463,10.669,41.098,45.668,126.786,19.399,9.304,159.799,169.161,1
100.219,48.608,5.204,38.576,18.938,4.352,3.7,174.005,32.236,1
94.818,167.532,32.194,52.576,163.998,5.155,17.455,178.978,28.683,1
54.046,46.03,69.886,67.865,161.529,10.87,10.453,176.164,161.697,1
66.913,64.921,21.33,7.583,5.167,10.973,6.062,172.151,86.523,1
83.629,107.399,30.374,30.952,7.278,7.73,9.198,170.984,171.486,1
82.401,134.532,16.9,32.531,75.484,6.924,8.009,17.264,166.928,1
71.338,83.585,13.073,28.659,8.65,12.803,11.362,159.04,170.44,1
94.215,58.454,45.576,46.053,88.308,7.6,20.299,169.712,8.434,1
96.423,93.153,25.801,37.573,20.755,10.679,9.973,177.537,8.246,1
177.747,103.368,64.629,46.758,102.832,13.159,5.186,5.102,169.69,1
106.415,118.28,16.992,32.183,6.92,9.372,6.503,160.468,165.743,1
50.37,154.468,30.993,38.734,134.808,18.566,13.162,164.242,171.761,1
55.538,66.187,10.534,10.891,4.123,9.659,7.003,166.073,168.024,1
100.743,80.004,42.47,15.877,16.983,5.836,5.742,173.14,173.441,1
83.098,70.374,2.26,12.951,5.358,9.489,5.972,168.371,166.055,1
85.803,80.386,2.965,4.839,4.493,6.874,6.859,171.941,168.537,1
152.946,51.444,60.288,34.822,144.172,13.553,11.366,176.312,175.38,1
174.832,86.693,46.637,28.769,24.275,5.906,7.755,158.201,167.225,1
100.171,50.023,38.219,39.681,113.132,13.243,15.391,145.831,164.265,1
118.166,49.872,53.688,59.438,8.559,17.57,8.072,175.751,160.548,1
63.674,52.615,55.549,59.072,147.653,15.554,7.586,170.893,177.455,1
48.076,24.671,42.526,53.886,142.386,15.17,9.863,163.295,168.035,1
42.683,34.747,60.997,69.683,156.961,11.202,8.705,177.254,179.393,1
65.771,10.047,39.774,51.982,126.201,7.24,9.002,14.163,170.89,1
67.478,171.442,66.862,41.823,149.645,16.268,8.548,129.028,179.78,1
